date,home,away,home_goals,away_goals,scorers
2026-10-17,Mombasa Mariners,Mathare Rangers,0,2,Collins Maina|Mathare Rangers|20;Collins Maina|Mathare Rangers|25
2026-10-17,Kisumu Sharks,Eldoret Eagles,0,1,George Wafula|Eldoret Eagles|77
2026-10-17,Thika Falcons,Nakuru Flamingos,0,1,Ian Mutua|Nakuru Flamingos|4
2026-10-17,Rongai Rovers,Kibera Lions,1,2,Tony Kipchoge|Kibera Lions|2;James Makori|Rongai Rovers|10;Kelvin Barasa|Kibera Lions|14
2026-10-24,Kisumu Sharks,Mathare Rangers,2,0,Paul Nyongesa|Kisumu Sharks|4;Chris Opiyo|Kisumu Sharks|89
2026-10-24,Thika Falcons,Mombasa Mariners,2,2,Oscar Kibet|Mombasa Mariners|3;Frank Korir|Thika Falcons|9;Peter Simiyu|Thika Falcons|21;Moses Odhiambo|Mombasa Mariners|59
2026-10-24,Rongai Rovers,Eldoret Eagles,0,1,George Wafula|Eldoret Eagles|22
2026-10-24,Kibera Lions,Nakuru Flamingos,3,0,Kevin Muriuki|Kibera Lions|39;Kevin Muriuki|Kibera Lions|61;Allan Ochieng|Kibera Lions|76
2026-10-31,Thika Falcons,Mathare Rangers,0,1,Luke Karanja|Mathare Rangers|53
2026-10-31,Rongai Rovers,Kisumu Sharks,2,2,James Makori|Rongai Rovers|34;Mark Njoroge|Kisumu Sharks|41;Eric Mwangi|Rongai Rovers|48;Chris Opiyo|Kisumu Sharks|70
2026-10-31,Kibera Lions,Mombasa Mariners,2,0,Kevin Muriuki|Kibera Lions|23;Kevin Muriuki|Kibera Lions|76
2026-10-31,Nakuru Flamingos,Eldoret Eagles,1,3,Ian Mutua|Nakuru Flamingos|26;Cliff Kiprono|Eldoret Eagles|33;Cliff Kiprono|Eldoret Eagles|56;George Wafula|Eldoret Eagles|71
2026-11-07,Rongai Rovers,Mathare Rangers,2,3,Tom Rotich|Rongai Rovers|7;Eric Mwangi|Rongai Rovers|19;Luke Karanja|Mathare Rangers|38;Collins Maina|Mathare Rangers|58;Collins Maina|Mathare Rangers|67
2026-11-07,Kibera Lions,Thika Falcons,2,0,Allan Ochieng|Kibera Lions|27;Allan Ochieng|Kibera Lions|30
2026-11-07,Nakuru Flamingos,Kisumu Sharks,0,1,Mark Njoroge|Kisumu Sharks|46
2026-11-07,Eldoret Eagles,Mombasa Mariners,2,0,George Wafula|Eldoret Eagles|40;Felix Nyamweya|Eldoret Eagles|71
2026-11-14,Kibera Lions,Mathare Rangers,0,0,
2026-11-14,Nakuru Flamingos,Rongai Rovers,1,2,Noah Onyango|Nakuru Flamingos|7;James Makori|Rongai Rovers|28;Tom Rotich|Rongai Rovers|76
2026-11-14,Eldoret Eagles,Thika Falcons,2,0,Brian Gitau|Eldoret Eagles|38;Brian Gitau|Eldoret Eagles|84
2026-11-14,Mombasa Mariners,Kisumu Sharks,0,1,Mark Njoroge|Kisumu Sharks|26
